customer_id,customer_name,city,segment,email,signup_date,total_orders,lifetime_value
CUST-1021,Kavya Nair,Bengaluru,Consumer,,2023-05-27,46,3561.04
CUST-1053,Diya Kapoor,Pune,Consumer,diya.kapoor@example.com,2022-09-02,35,4123.68
CUST-1120,Diya Menon,Ahmedabad,Home Office,diya.menon@example.com,2023-05-31,44,4489.19
CUST-1051,Priya Joshi,Kolkata,Corporate,priya.joshi@example.com,2024-06-15,33,3788.65
CUST-1026,Aditya Sharma,Ahmedabad,Corporate,aditya.sharma@example.com,2024-04-28,49,2479.98
CUST-1198,Pooja Singh,Pune,Consumer,pooja.singh@example.com,2024-01-17,29,3484.14
CUST-1107,Ananya Das,Mumbai,Home Office,ananya.das@example.com,2022-06-15,46,3025.41
CUST-1028,Ishaan Verma,Mumbai,Home Office,ishaan.verma@example.com,2022-09-14,34,4651.55
CUST-1006,Priya Nair,Bengaluru,Corporate,priya.nair@example.com,2022-05-12,9,3410.59
CUST-1157,Aditya Pillai,Pune,Consumer,aditya.pillai@example.com,2023-08-05,32,1407.58
CUST-1139,Vivaan Mehta,Jaipur,Consumer,vivaan.mehta@example.com,2022-10-03,11,1953.97
CUST-1025,Ishaan Patel,Pune,Corporate,ishaan.patel@example.com,2023-03-03,45,3729.65
CUST-1042,Ananya Pillai,,Corporate,ananya.pillai@example.com,2024-02-10,35,1209.73
CUST-1116,Priya Menon,Mumbai,Home Office,priya.menon@example.com,2022-04-22,32,4255.89
CUST-1090,Arjun Kumar,Kolkata,Corporate,arjun.kumar@example.com,2022-06-06,11,698.76
CUST-1197,Diya Patel,Bengaluru,Corporate,diya.patel@example.com,2023-09-20,35,541.56
CUST-1168,Priya Chopra,Chennai,Home Office,,2023-01-20,45,3267.51
CUST-1156,Riya Mehta,Jaipur,Corporate,riya.mehta@example.com,2024-04-18,12,
CUST-1087,Diya Nair,Lucknow,Corporate,diya.nair@example.com,2024-06-14,42,4699.25
CUST-1074,Pooja Nair,Hyderabad,Consumer,pooja.nair@example.com,2023-08-19,5,3147.53
CUST-1101,Kavya Mehta,Bengaluru,Home Office,kavya.mehta@example.com,2022-12-12,38,2291.44
CUST-1194,Neha Reddy,Delhi,Consumer,neha.reddy@example.com,2024-03-25,1,4286.47
CUST-1040,Diya Rao,Chennai,Consumer,diya.rao@example.com,2022-03-01,42,3288.95
CUST-1195,Sara Reddy,Ahmedabad,Corporate,sara.reddy@example.com,2022-01-19,20,3028.04
CUST-1098,Pooja Rao,Delhi,Home Office,pooja.rao@example.com,2023-03-20,31,4363.14
CUST-1046,Aarav Das,Bengaluru,Consumer,aarav.das@example.com,2023-10-22,29,2957.8
CUST-1170,Arjun Kapoor,Chennai,Consumer,arjun.kapoor@example.com,2023-04-07,32,731.12
CUST-1127,Sara Mehta,Lucknow,Corporate,sara.mehta@example.com,2024-01-24,31,1445.05
CUST-1188,Meera Pillai,Bengaluru,Home Office,meera.pillai@example.com,2023-04-15,30,4217.53
CUST-1003,Meera Singh,Kolkata,Home Office,meera.singh@example.com,2022-08-31,1,3806.95
CUST-1034,Priya Das,Delhi,Home Office,priya.das@example.com,2023-10-02,30,437.98
