customer_id,customer_name,email,registration_date,customer_type
1,Shannon Pacheco,karenstafford@example.org,2024-12-01,REGULAR
2,Jose Becker,adam63@example.net,2025-08-30,REGULAR
3,Rebecca Barr,wellsnicole@example.com,2025-09-09,VIP
4,Lori Diaz,gbennett@example.com,2026-04-19,VIP
5,David Stevens,sharon23@example.net,2026-07-09,REGULAR
6,Sierra Rivera,diane40@example.org,2025-03-20,REGULAR
7,Robert Martin,reedkaren@example.net,2025-03-22,REGULAR
8,Tina Lawson,parksbrian@example.org,2025-09-01,VIP
9,Adam Parker DVM,natalie46@example.org,2025-12-02,REGULAR
10,David Hogan,ecarlson@example.com,2025-11-13,VIP
11,Christine Smith,kbuchanan@example.org,2025-04-19,REGULAR
12,Nicole Padilla,ryansarah@example.org,2026-05-30,PREMIUM
13,Vincent Parsons,shawn86@example.org,2025-01-17,REGULAR
14,Michael Jacobson,lisagomez@example.net,2024-12-30,REGULAR
15,Monica Mosley,jdiaz@example.net,2026-02-17,PREMIUM
16,Brian Ortiz,brewerclifford@example.com,2025-10-20,REGULAR
17,Breanna Powers,barry24@example.com,2025-02-06,PREMIUM
18,Alexa Watts,xleonard@example.com,2025-08-10,PREMIUM
19,Joseph Perez,nelsonchristopher@example.org,2025-02-26,PREMIUM
20,Kevin Golden,fdavis@example.org,2026-06-29,REGULAR
21,Raymond Green,toddbrown@example.org,2026-03-23,VIP
22,Joseph Fuller,cardenasgrace@example.org,2025-06-06,PREMIUM
23,Andrew Thompson PhD,anahunt@example.com,2024-11-21,PREMIUM
24,Michael Bauer,vjordan@example.com,2024-10-20,VIP
25,Lawrence Hall,diane10@example.org,2024-09-06,PREMIUM
26,Matthew Rodriguez,franklinantonio@example.com,2026-05-31,VIP
27,Corey Ramirez,brendafuller@example.org,2025-03-19,VIP
28,Jasmine Blackwell,llopez@example.net,2025-01-19,PREMIUM
29,Ryan Pearson,allensolis@example.org,2025-08-28,REGULAR
30,Brandon Glass,todd87@example.com,2026-03-22,PREMIUM
31,Teresa Contreras,carl87@example.net,2025-06-22,VIP
32,Jennifer Noble,chapmanjoshua@example.net,2025-02-14,REGULAR
33,Alexis Fowler,sarahcollins@example.net,2025-02-18,REGULAR
34,Abigail Walker,melissa42@example.com,2025-04-30,VIP
35,Todd Campbell,tracy01@example.net,2025-07-01,VIP
36,Jason Bauer,alvaradoann@example.net,2025-11-10,VIP
37,Jerry Jones,jamesbrendan@example.org,2025-08-10,VIP
38,Jonathan Bowman,zdavis@example.com,2026-07-03,PREMIUM
39,Douglas Francis,eileenschmidt@example.com,2024-09-26,VIP
40,Alexander Singh,mhunt@example.org,2024-09-14,REGULAR
41,Elizabeth Lewis,zachary23@example.com,2025-02-18,REGULAR
42,Shane Baird,gcarr@example.net,2025-08-29,REGULAR
43,Darrell Barton,becky91@example.org,2024-08-22,PREMIUM
44,Molly Smith,ccabrera@example.org,2026-03-18,REGULAR
45,Glenn Kelly,juanmurphy@example.com,2026-07-06,VIP
46,Angela Johnson,anthonymora@example.org,2024-10-25,PREMIUM
47,Jennifer Cook,darlene25@example.net,2025-11-20,PREMIUM
48,Andrew Washington,smartin@example.org,2025-06-18,VIP
49,Lauren Rivera,janice27@example.net,2025-09-18,PREMIUM
50,Sharon Miller,nathanflowers@example.net,2024-11-01,VIP
51,Ms. Jasmine Wall,jenniferkelly@example.org,2024-08-30,PREMIUM
52,Stephanie Mosley,qterry@example.com,2026-01-10,PREMIUM
53,Scott Anderson,juliangordon@example.net,2025-04-19,PREMIUM
54,Amanda Charles,sarah30@example.net,2026-03-13,REGULAR
55,Mikayla White,jeremyjones@example.com,2024-10-07,REGULAR
56,Todd Graham,jameserica@example.net,2025-10-23,REGULAR
57,Alexander Freeman,ortizwayne@example.net,2026-01-24,REGULAR
58,Mary Miller,jonestraci@example.com,2024-11-09,PREMIUM
59,Deanna Hunter,kathleen44@example.com,2026-03-19,PREMIUM
60,Brian Crawford,angie22@example.com,2025-03-14,PREMIUM
61,Paul Reynolds,james67@example.net,2026-06-24,VIP
62,Jonathan Contreras,johnsnow@example.net,2025-12-22,REGULAR
63,Cassie Moore,craigbowman@example.net,2025-04-29,REGULAR
64,Shelly Barnett,lisacobb@example.org,2026-04-28,VIP
65,Mikayla Ibarra,phillipmcguire@example.com,2025-08-11,VIP
66,James Cooper,robinsonstephanie@example.com,2024-11-16,PREMIUM
67,Christopher Harrison,scott99@example.net,2025-04-20,PREMIUM
68,Christina Johnson,huffmanannaexample.com,2024-09-11,VIP
69,Anthony Dawson,adam57@example.org,2026-07-05,PREMIUM
70,Eric Montgomery,alanskinner@example.org,2025-07-16,REGULAR
71,Ricardo Allen,ulloyd@example.net,2026-06-23,REGULAR
72,Elizabeth Meyers,vmayer@example.org,2025-08-30,PREMIUM
73,Frank Bradley,michaellopez@example.org,2026-03-13,VIP
74,Sara Cohen,arojas@example.net,2024-11-01,REGULAR
75,Amanda Anderson,zbrooks@example.net,2025-11-04,REGULAR
76,David Ware,mbecker@example.com,2026-06-19,VIP
77,Joseph Grant,fyork@example.net,2025-07-06,VIP
78,Allen Ayers,jessica27@example.org,2024-12-19,REGULAR
79,Peter Stevens,ramirezrobert@example.net,2025-02-25,PREMIUM
80,Angela Mack,robertpetersen@example.com,2026-02-06,PREMIUM
81,Robert Davis DVM,jacobsonnancy@example.org,2026-04-01,REGULAR
82,Brandon Rodriguez,lisabonilla@example.org,2025-06-14,REGULAR
83,Dustin Lopez,gramsey@example.net,2025-02-11,PREMIUM
84,Leslie Wright,wardcheryl@example.org,2026-01-14,VIP
85,Jessica Davenport,vfreeman@example.com,2025-03-03,REGULAR
86,Michelle Duncan,tonya02@example.org,2026-05-22,VIP
87,Angel Johnson,foxedward@example.net,2024-12-19,VIP
88,David Smith,freemanrobin@example.org,2024-10-28,PREMIUM
89,William Williams,joel28@example.net,2026-06-29,VIP
90,Dawn Schultz,teresasmith@example.com,2025-06-24,VIP
91,Stephen Gray,williamsmichelle@example.org,2026-03-12,PREMIUM
92,Annette Perez,gonzalezroy@example.com,2025-08-27,VIP
93,Lisa Green,jbaker@example.org,2025-01-05,PREMIUM
94,Sarah Wang,scott97@example.net,2025-09-13,PREMIUM
95,Amber Castillo,jared50@example.org,2025-06-02,REGULAR
96,Dawn Mcclure,juliemaldonado@example.com,2025-01-12,REGULAR
97,Michelle Ellis,lcarpenter@example.net,2026-03-12,REGULAR
98,Cassandra Powell,kevinmiller@example.net,2026-05-14,REGULAR
99,Jill Wood,hwiley@example.com,2026-06-22,VIP
100,Amanda Rose DDS,trevorchang@example.com,2025-03-01,REGULAR
101,Rebecca Ward,smithchristopher@example.org,2025-01-09,PREMIUM
102,Amanda Ray,eburns@example.org,2025-07-23,REGULAR
103,Adrian Baird,baileydavid@example.net,2025-04-03,PREMIUM
104,Brandon Tanner,thomassosa@example.net,2025-09-25,REGULAR
105,Kaitlyn Bennett,harrisonbrittany@example.com,2025-10-25,VIP
106,Christy Hughes,preston94@example.net,2026-01-13,REGULAR
107,Pamela Calderon,danielbell@example.net,2025-02-20,PREMIUM
108,Melissa Crawford,jasmine60@example.com,2025-06-17,REGULAR
109,Daniel Kramer,zwoods@example.com,2025-10-03,PREMIUM
110,Joan Griffin,njones@example.net,2024-12-09,PREMIUM
